datetime,solar,clear_sky_solar,wind50,cloud,temp,solar_ratio,solar_effective,solar_eff_norm,wind_norm,clear_ratio_norm,renewable_index
2025-07-29 11:00:00,830.4,865.55,2.08,40.12,29.55,0.959389983247646,497.24352,0.5118916201793702,0.11046202867764207,0.9025540837661504,0.4695952354462078
2025-07-29 12:00:00,779.72,846.55,2.07,67.78,30.15,0.9210560510306539,251.22578400000003,0.2586265450027232,0.10993096123207648,0.8664911190975583,0.3355907846904962
2025-07-29 13:00:00,684.8,794.33,2.18,81.26,30.44,0.8621102060856318,128.33151999999993,0.13211198748830594,0.11577270313329795,0.8110373265781892,0.2629952699997802
2025-07-29 14:00:00,638.28,695.33,2.63,32.02,30.48,0.9179526268102914,433.902744,0.4466849133125646,0.13967073818374934,0.8635715470229519,0.43795798751599746
2025-07-29 15:00:00,520.6,561.45,3.04,60.44,30.22,0.9272419627749576,205.94936000000004,0.2120163407364351,0.16144450345193842,0.8723105668759673,0.32890363477899254
2025-07-29 16:00:00,368.42,396.42,3.2,47.63,29.7,0.9293678421875788,192.94155400000002,0.19862534292449996,0.16994158258098782,0.8743105055650919,0.32515724734956475
2025-07-29 17:00:00,209.82,223.15,2.96,34.08,28.67,0.94026439614609,138.313344,0.14238786209337945,0.15719596388741372,0.8845615290758241,0.2952650260280787
2025-07-29 18:00:00,75.12,77.43,1.88,19.37,27.58,0.9701666020922123,60.569256,0.062353541755353674,0.09984067976633033,0.9126922773237163,0.24366743027231919
2025-07-30 05:00:00,17.02,44.15,6.04,100.0,23.26,0.3855039637599094,0.0,0.0,0.32076473712161446,0.3626660512148911,0.16876263137946257
2025-07-30 06:00:00,59.33,164.57,5.83,100.0,23.3,0.360515282250714,0.0,0.0,0.30961232076473716,0.33915774183301767,0.16071524459602468
2025-07-30 07:00:00,74.93,324.95,6.13,100.0,23.53,0.2305893214340668,0.0,0.0,0.32554434413170474,0.21692881660977376,0.14104906656146618
2025-07-30 08:00:00,148.4,488.5,7.03,100.0,23.3,0.30378710337768683,0.0,0.0,0.3733404142326076,0.2857902370638428,0.16916017168255085
2025-07-30 09:00:00,168.3,636.35,7.4,99.52,22.9,0.2644770959377701,0.8078400000000046,0.0008316378390324819,0.3929899097185343,0.24880902153387374,0.16807459614185127
2025-07-30 10:00:00,221.88,743.9,7.39,97.76,22.82,0.29826589595375724,4.970111999999994,0.005116524563563798,0.3924588422729687,0.28059611538777635,0.17641513804122777
2025-07-30 11:00:00,151.0,806.85,7.49,99.44,22.77,0.1871475491107393,0.8456000000000075,0.0008705101959371521,0.3977695167286246,0.17606060899754386,0.15497823191606472
2025-07-30 12:00:00,191.3,820.6,7.74,96.98,22.22,0.23312210577626127,5.777260000000001,0.005947450017241992,0.4110462028677643,0.2193115544861984,0.17014989676618997
2025-07-30 13:00:00,160.05,769.88,8.68,99.51,21.68,0.20788954122720427,0.7842449999999848,0.000807347763260067,0.4609665427509294,0.19557381011184857,0.17780839872927856
2025-07-30 14:00:00,259.7,671.28,9.6,98.63,21.02,0.3868728399475629,3.5578900000000115,0.003662700474246472,0.5098247477429634,0.3639538328416646,0.2275695411283452
2025-07-30 15:00:00,278.23,539.47,8.66,97.01,20.39,0.5157469368083489,8.31907699999998,0.008564145398872014,0.45990440785979825,0.485193208324442,0.23929203672226387
2025-07-30 16:00:00,198.15,370.3,7.59,89.07,20.12,0.5351066702673508,21.657795000000014,0.022295803416528523,0.40308019118428046,0.5034060381425077,0.23275316669204996
